trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
535791020,24,1,"North to Temecula Promenade Mall",,1,84450202,shp-24-06,0,0,02313
535792020,24,1,"North to Temecula Promenade Mall",,1,84449902,shp-24-06,0,0,02311
535793020,24,1,"North to Temecula Promenade Mall",,1,84454302,shp-24-06,0,0,02411
535794020,24,1,"North to Temecula Promenade Mall",,1,84450402,shp-24-06,0,0,02314
535795020,24,1,"North to Temecula Promenade Mall",,1,84450102,shp-24-06,0,0,02312
535796020,24,1,"North to Temecula Promenade Mall",,1,84450202,shp-24-06,0,0,02313
535797020,24,1,"North to Temecula Promenade Mall",,1,84449902,shp-24-06,0,0,02311
535798020,24,1,"North to Temecula Promenade Mall",,1,84454302,shp-24-06,0,0,02411
534511020,27,1,"South to Perris Station Transit Center",,0,84694202,shp-27-61,0,0,02002
534512020,27,1,"South to Perris Station Transit Center",,0,84692402,shp-27-61,0,0,02701
534513020,27,1,"South to Perris Station Transit Center",,0,84692602,shp-27-61,0,0,00101
534514020,27,1,"South to Perris Station Transit Center",,0,84695602,shp-27-61,0,0,02702
534515020,27,1,"South to Perris Station Transit Center",,0,84694902,shp-27-61,0,0,01302
534516020,27,1,"South to Perris Station Transit Center",,0,84693602,shp-27-61,0,0,01301
534517020,27,1,"South to Perris Station Transit Center",,0,84692402,shp-27-61,0,0,02701
534518020,27,1,"South to Perris Station Transit Center",,0,84709802,shp-27-61,0,0,02703
534519020,27,1,"South to Perris Station Transit Center",,0,84706702,shp-27-61,0,0,02704
534520020,27,1,"South to Perris Station Transit Center",,0,84706502,shp-27-61,0,0,02706
534521020,27,1,"South to Perris Station Transit Center",,0,84706302,shp-27-61,0,0,01306
534522020,27,1,"South to Perris Station Transit Center",,0,84709802,shp-27-61,0,0,02703
534523020,27,1,"South to Perris Station Transit Center",,0,84703802,shp-27-61,0,0,02705
534524020,27,1,"South to Perris Station Transit Center",,0,84706702,shp-27-61,0,0,02704
534525020,27,1,"South to Perris Station Transit Center",,0,84703802,shp-27-61,0,0,02705
534526020,27,1,"North to Galleria Mall",,1,84692602,shp-27-51,0,0,00101
534527020,27,1,"North to Galleria Mall",,1,84692402,shp-27-51,0,0,02701
534528020,27,1,"North to Galleria Mall",,1,84692602,shp-27-51,0,0,00101
534529020,27,1,"North to Galleria Mall",,1,84695602,shp-27-51,0,0,02702
534530020,27,1,"North to Galleria Mall",,1,84694902,shp-27-51,0,0,01302
534531020,27,1,"North to Galleria Mall",,1,84693602,shp-27-51,0,0,01301
534532020,27,1,"North to Galleria Mall",,1,84692402,shp-27-51,0,0,02701
534533020,27,1,"North to Galleria Mall",,1,84709802,shp-27-51,0,0,02703
534534020,27,1,"North to Galleria Mall",,1,84703802,shp-27-51,0,0,02705
534535020,27,1,"North to Galleria Mall",,1,84706702,shp-27-51,0,0,02704
534536020,27,1,"North to Galleria Mall",,1,84706502,shp-27-51,0,0,02706
